Counties,Year,Median AQI,pct_under_18,pct_18_64,pct_65_plus,median_age,pct_AI/AN,pct_Asian,pct_Black,pct_Latino,pct_Multi_Race,pct_NH/PI,pct_White,COPD_Hospitalization_Rate,Poverty_AllAges_Percent_Est,Median_Household_Income_Est
Placer,2006,64.0,24.882292820710884,61.45814987637379,13.659557302915353,37.79337028600838,0.6185274879567522,4.899872745602901,1.1351822697392726,11.639037894390574,2.568951430557777,0.1830944332408386,78.9553337385119,15.17,5.7,69982
Placer,2007,57.0,24.967354274238748,61.183466693801655,13.849179031959574,37.9314018043214,0.6148521458484707,5.105796864156814,1.1727572421315895,11.902056023269733,2.659842738370497,0.1895829666632102,78.35511201955966,13.76,6.0,69667
Placer,2008,58.0,25.04457299498447,60.8280640021959,14.127363002819626,38.09175982236396,0.6114764507342682,5.378269349223441,1.2233877059418647,12.18596389528093,2.749624615089302,0.1975534718604009,77.65372451186981,19.41,6.7,75029
Placer,2009,57.0,24.89611207698605,60.20205721719542,14.90183070581852,38.60256758282297,0.6073615373788656,5.6326405221771365,1.2594427441179843,12.591847319320603,2.881345279770257,0.2019486925119136,76.82541390472325,15.27,7.2,70751
Placer,2010,55.0,24.371280694954287,60.19089582525822,15.437823479787502,39.03547447502224,0.6042089422923459,5.840021432317198,1.2950591668756697,12.96512688387788,3.0070795047766707,0.2077680749675095,76.08073599489272,13.51,9.1,68330
Placer,2011,57.0,24.16288554820157,59.96956456061632,15.867549891182115,39.2287553359927,0.6036735127756113,6.208214211783663,1.298821186198871,13.678044523019596,3.387061581412002,0.2100828582458221,74.61410212656443,12.55,8.5,69581
Placer,2012,54.0,23.97482078828351,59.76011398995147,16.265065221765028,39.41000002756044,0.5784934916037141,6.553319791973851,1.3771948439941684,14.370836652068824,3.749045720002536,0.216900608809968,73.15420889154693,12.79,9.1,69521
Placer,2013,55.0,23.861823853400463,59.46720721259269,16.67096893400684,39.57553196403486,0.5627365680949289,6.976737866926795,1.4306171081698698,15.214809943943722,4.187510019754201,0.2241707719354496,71.40341772117503,12.84,8.3,73643
Placer,2014,57.0,23.74686834565408,59.19679275631231,17.0563388980336,39.74170732558733,0.5451025356666228,7.399162743987089,1.492721672793476,16.040246289677693,4.624778803835588,0.2282449040968617,69.66974304994267,10.86,8.3,75689
Placer,2015,51.0,23.56764084366652,59.0258230001462,17.406536156187286,39.92281541140039,0.5324083303430219,7.758595483965286,1.531571043153516,16.75983147934027,4.986244567600973,0.2402881331153728,68.19106096248156,8.61,8.6,76203
Placer,2016,50.0,23.34310620140834,58.92097065521845,17.73592314337321,40.10624590979294,0.5209287714981283,8.057642470092405,1.5803251223789954,17.353210648935892,5.285987277819952,0.2444962173765084,66.95740949189812,8.63,7.2,85326
Placer,2017,46.0,23.0484112837054,58.84256365539788,18.10902506089672,40.3098903473235,0.5041502367705576,8.256746224660663,1.5754694899079924,17.74300170022095,5.476203337165904,0.2420435575515789,66.20238545372236,9.09,7.8,81366
Placer,2018,46.0,22.827963212418208,58.69256994973172,18.479466837850065,40.47455626685402,0.5019245495694721,8.359849068811178,1.576791170576,17.963642061580533,5.562870725364376,0.238831167846501,65.79609125625194,6.1,7.1,89175
