County,1/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020,1/1/2021,1/1/2022,1/1/2023,1/1/2024,1/1/2025
Kern                ,"658,902","672,004","688,063","707,111","728,872","750,969","774,062","795,982","812,830","825,503","837,074"," 	845,269 "," 	853,585 "," 	861,948 "," 	867,021 "," 	873,453 "," 	876,846 "," 	883,531 "," 	891,340 "," 	898,617 "," 	907,416 "," 	906,122 "," 	910,744 "," 	909,221 "," 	918,005 "," 	923,961 "
Kings               ,"128,787","131,100","133,551","136,710","140,688","143,607","146,045","148,933","151,106","151,816","152,717"," 	150,073 "," 	151,242 "," 	150,004 "," 	148,974 "," 	148,817 "," 	148,487 "," 	148,079 "," 	150,058 "," 	151,918 "," 	152,249 "," 	151,167 "," 	151,921 "," 	151,980 "," 	153,880 "," 	154,015 "
Lake                ,"58,084","59,260","60,525","61,492","62,307","62,870","63,449","63,890","64,178","64,384","64,580"," 	65,318 "," 	65,573 "," 	65,928 "," 	66,484 "," 	66,975 "," 	66,991 "," 	67,318 "," 	67,890 "," 	67,902 "," 	68,144 "," 	67,821 "," 	67,676 "," 	66,964 "," 	67,393 "," 	67,254 "
Lassen              ,"33,770","33,763","33,628","33,828","34,313","34,552","34,769","35,379","35,437","34,947","34,794"," 	34,416 "," 	34,222 "," 	33,564 "," 	32,908 "," 	32,758 "," 	32,293 "," 	32,459 "," 	32,721 "," 	32,726 "," 	32,555 "," 	31,014 "," 	29,889 "," 	28,475 "," 	27,912 "," 	28,716 "
Los Angeles ,"9,477,651","9,590,080","9,679,212","9,756,914","9,806,944","9,816,153","9,798,609","9,780,808","9,785,474","9,801,096","9,822,121"," 	9,872,846 "," 	9,937,750 "," 	9,995,638 "," 	10,037,944 "," 	10,072,887 "," 	10,087,542 "," 	10,107,312 "," 	10,107,841 "," 	10,067,476 "," 	10,029,036 "," 	9,966,353 "," 	9,870,212 "," 	9,834,286 "," 	9,848,643 "," 	9,876,811 "
Madera              ,"122,629","125,359","127,469","130,641","134,645","138,174","141,693","145,163","147,958","149,632","150,749"," 	151,054 "," 	151,155 "," 	150,652 "," 	152,067 "," 	152,930 "," 	152,819 "," 	154,151 "," 	155,100 "," 	155,604 "," 	155,967 "," 	156,187 "," 	157,685 "," 	158,266 "," 	161,854 "," 	162,599 "
Marin               ,"246,503","247,590","247,567","247,342","246,990","246,688","246,969","248,025","249,546","250,760","252,279"," 	254,256 "," 	257,096 "," 	258,815 "," 	261,931 "," 	263,888 "," 	264,554 "," 	264,366 "," 	264,099 "," 	263,645 "," 	262,802 "," 	260,112 "," 	256,512 "," 	254,861 "," 	254,743 "," 	254,550 "
Mariposa            ,"17,068","17,163","17,365","17,612","17,818","17,965","18,150","18,310","18,381","18,334","18,277"," 	18,180 "," 	18,084 "," 	17,936 "," 	17,865 "," 	17,724 "," 	17,625 "," 	17,501 "," 	17,398 "," 	17,242 "," 	17,156 "," 	17,066 "," 	16,984 "," 	16,964 "," 	16,958 "," 	16,917 "
Mendocino           ,"86,110","86,825","87,326","87,764","88,130","88,129","87,802","87,617","87,715","87,677","87,807"," 	87,787 "," 	88,402 "," 	89,320 "," 	89,569 "," 	90,018 "," 	90,761 "," 	91,368 "," 	91,667 "," 	91,733 "," 	91,639 "," 	90,920 "," 	90,305 "," 	89,887 "," 	89,802 "," 	89,827 "
Merced              ,"209,522","214,203","220,018","225,946","232,356","238,069","243,072","247,542","250,734","253,026","255,399"," 	259,183 "," 	261,779 "," 	263,501 "," 	264,670 "," 	266,740 "," 	268,527 "," 	271,094 "," 	274,768 "," 	277,693 "," 	280,290 "," 	281,604 "," 	285,109 "," 	286,869 "," 	291,752 "," 	293,080 "
Modoc               ,"9,445","9,473","9,417","9,456","9,556","9,595","9,614","9,615","9,607","9,628","9,666"," 	9,653 "," 	9,508 "," 	9,408 "," 	9,312 "," 	9,212 "," 	9,130 "," 	8,979 "," 	8,943 "," 	8,880 "," 	8,722 "," 	8,606 "," 	8,573 "," 	8,527 "," 	8,509 "," 	8,491 "
Mono                ,"12,770","13,034","13,298","13,478","13,650","13,763","13,975","14,182","14,143","14,074","14,160"," 	14,312 "," 	14,181 "," 	13,865 "," 	13,712 "," 	13,674 "," 	13,412 "," 	13,425 "," 	13,319 "," 	13,305 "," 	13,205 "," 	13,191 "," 	13,102 "," 	13,178 "," 	12,888 "," 	12,684 "
Monterey            ,"399,392","404,569","407,440","410,276","411,544","409,557","406,935","406,890","409,387","412,233","415,108"," 	416,582 "," 	422,477 "," 	425,742 "," 	427,425 "," 	429,887 "," 	434,712 "," 	437,800 "," 	438,000 "," 	439,477 "," 	439,590 "," 	437,429 "," 	436,584 "," 	436,972 "," 	436,613 "," 	438,831 "
Napa                ,"123,782","125,396","127,064","128,683","129,814","130,472","131,330","132,537","133,969","135,225","136,316"," 	136,839 "," 	138,249 "," 	138,808 "," 	140,114 "," 	140,654 "," 	141,119 "," 	140,837 "," 	139,786 "," 	138,982 "," 	138,304 "," 	137,294 "," 	135,833 "," 	134,992 "," 	135,415 "," 	136,124 "
Nevada              ,"91,642","92,693","94,048","95,277","96,540","97,454","98,068","98,408","98,581","98,558","98,682"," 	99,035 "," 	98,896 "," 	99,116 "," 	99,490 "," 	100,341 "," 	100,793 "," 	100,998 "," 	101,640 "," 	101,719 "," 	102,259 "," 	102,185 "," 	101,352 "," 	100,608 "," 	100,903 "," 	100,354 "
